[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762107265.14532,,1857,13.7899,13.7899,0,9.89999989542412E-6,13.992166,0.28357952,35.971999,0.1022,35.103574,0.04918,71.075573,0.1022,1.3534513,15.9589,0.030048369,99.249493,0,0,1,,,,4.4623E-6,31.86551,195.78072,2.570867,0
3762107785.89397,,1857,12.3758,12.3758,0,9.89999989542412E-6,12.574626,0.2730326,24.8797,0.1272,27.515411,0.03846,52.395112,0.1213,0.39971049,13.000267,0,100,0,0,1,,,,4.0303E-6,31.9178,158.12122,1.9785639,0
3762107891.21871,,1857,12.3792,12.3792,-0.0832863375544548,9.89999989542412E-6,12.561141,0.25146753,24.832416,0.06864,27.453125,0.03839,52.285541,0.06864,3.1376834,13.286095,0.023713476,99.287063,0,0,1,,,,3.9417E-6,26.00053,157.78225,1.9769237,0
3762107997.74969,,1857,12.3859,12.3859,-0.011898048222065,9.89999989542412E-6,12.57014,0.25470977,24.931059,0.06992,27.499392,0.03844,52.430452,0.06992,3.0083532,13.298384,0.018283165,99.450398,0,0,1,,,,3.9476E-6,26.57219,158.00841,1.9833558,0
3762108460.44072,,1857,11.1224,11.1224,-0.0237960964441299,9.89999989542412E-6,11.300611,0.24496237,16.991336,0.1014,21.523408,0.03213,38.514744,0.09616,0.38509534,10.863665,0,100,0,0,1,,,,3.5453E-6,26.59677,127.70382,1.5035767,0
3762108552.20977,,1857,11.1215,11.1215,0,9.89999989542412E-6,11.28667,0.22550834,17.02898,0.05259,21.459649,0.03204,38.488629,0.05259,2.5202333,11.022344,0.0047374479,99.825954,0,0,1,,,,3.4931E-6,21.72733,127.38893,1.5087691,0
3762108645.2464,,1857,11.1247,11.1247,-0.0237960964441299,9.89999989542412E-6,11.289984,0.22731054,17.061752,0.05093,21.477374,0.03206,38.539126,0.05093,2.2156401,11.122423,0.016460032,99.402344,0,0,1,,,,3.4691E-6,22.04469,127.46373,1.5112291,0
3762109052.78716,,1857,9.99529,9.99529,-0.011898048222065,9.89999989542412E-6,10.158964,0.21942477,11.515186,0.07139,16.751969,0.02247,28.267155,0.06777,0.42337142,9.0885221,0,100,0,0,1,,,,3.1102E-6,22.24485,103.20455,1.1335,0
3762109134.77073,,1857,9.99192,9.99192,0,9.89999989542412E-6,10.141269,0.19823179,11.546457,0.06884,16.69088,0.02237,28.237337,0.0651,1.944125,9.1999933,0,100,0,0,1,,,,3.0693E-6,18.17704,102.84533,1.1385614,0
3762109216.62609,,1857,9.9932,9.9932,-0.0237960964441299,9.89999989542412E-6,10.14369,0.2035692,11.573247,0.0357,16.690511,0.02237,28.263758,0.0357,2.122916,9.2747266,0.011557622,99.486408,0,0,1,,,,3.05E-6,18.39999,102.89444,1.1409307,0
